Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
220046,2022,11/14/2022,Madison,15 SCENIC RD,239500.00,451000.00,0.5310,Residential,Single Family,,,,POINT (-72.640437015 41.339933999)
2200322,2022,04/11/2023,East Hartford,58 JEFFREY DR,140110.00,276150.00,0.5073,Residential,Single Family,25 - Other,ESTATE,,POINT (-72.584180028 41.733832989)
220719,2022,07/11/2023,Meriden,107 BUNKER AVE,108500.00,230000.00,0.4717,Residential,Single Family,,,,POINT (-72.788064961 41.544956021)
220034,2022,10/19/2022,Enfield,28 NEW KING ST,132800.00,300000.00,0.4427,Residential,Two Family,07 - Change in Property,,,POINT (-72.596611982 41.994500999)
220030,2022,10/11/2022,Meriden,361 POMEROY AVE,92190.00,120000.00,0.7682,Commercial,,,,,POINT (-72.760219021 41.517936998)
220768,2022,07/11/2023,Hamden,99 PUTNAM AVE,153580.00,399995.00,0.3839,Residential,Single Family,,,,POINT (-72.916284023 41.345565003)
220038,2022,08/10/2023,Andover,275 LONG HILL RD,335440.00,525000.00,0.6389,Residential,Single Family,,,,POINT (-72.373396034 41.764268014)
22073,2022,01/31/2023,Derby,154-156 HAWKINS ST,148820.00,310000.00,0.4800,Residential,Two Family,,,,POINT (-73.091690016 41.328095985)
220213,2022,12/23/2022,Meriden,56 ALEXANDER DR,166040.00,335000.00,0.4956,Residential,Single Family,,,,POINT (-72.754768018 41.547628004)
220060,2022,01/10/2023,Griswold,120 PRESTON RD,192010.00,324000.00,0.5926,Vacant Land,,14 - Foreclosure,SALE OF A FORECLOSED PROPERTY,,POINT (-71.97591183 41.590377802)
220719,2022,06/15/2023,Hartford,33 CHARTER OAK PL UNIT 4,74566.00,220000.00,0.3389,Residential,Condo,,,,POINT (-72.673672015 41.758827992)
220011,2022,10/04/2022,Greenwich,14 DEARFIELD LANE,1304310.00,3300000.00,0.3952,Residential,Single Family,,,,POINT (-73.632680007 41.029232019)
220084,2022,11/03/2022,Hamden,285 RIVER RD,130130.00,275000.00,0.4732,Residential,Single Family,,,,POINT (-72.903979976 41.43972898)
2200312,2022,04/04/2023,East Hartford,74 MARGERY DR,124350.00,220000.00,0.5652,Residential,Single Family,25 - Other,ESTATE,,POINT (-72.597764997 41.756024999)
220314,2022,08/03/2023,Litchfield,404 HUNTER DR,316970.00,585000.00,0.5418,Residential,Condo,,,,POINT (-73.149610641 41.782351363)
22165,2022,03/17/2023,Montville,220 SIMPSON LN,40320.00,40000.00,1.0080,Vacant Land,,03 - Inter Corporation,,,POINT (-72.146855217 41.472598948)
220535,2022,05/15/2023,New Haven,50 ANTHONY ST,206080.00,90000.00,2.2897,Residential,Two Family,08 - Part Interest,,,POINT (-72.975493033 41.329806983)
221442,2022,09/27/2023,Fairfield,615 MILL HILL ROAD,865550.00,2013500.00,0.4298,Residential,Single Family,,,,POINT (-73.280889816 41.147706093)
220266,2022,07/18/2023,East Lyme,28B DAMON HEIGHTS RD,338800.00,609999.00,0.5554,Residential,Single Family,,,,POINT (-72.205315992 41.35439999)
220185,2022,12/13/2022,Hamden,255 PINE ROCK AVE U8,22890.00,50000.00,0.4578,Residential,Condo,,,,POINT (-72.944704039 41.340886015)
220515,2022,04/20/2023,Meriden,230 BUNKER AVE,115220.00,156000.00,0.7386,Residential,Single Family,,,,POINT (-72.784526037 41.546954015)
221411,2022,09/14/2023,Fairfield,43 ROCKVIEW ROAD,304220.00,500000.00,0.6084,Residential,Single Family,,,,POINT (-73.277774972 41.143131019)
220130,2022,07/17/2023,Mansfield,342 HUNTING LODGE RD,114900.00,308000.00,0.3730,Residential,Single Family,,,,POINT (-72.282915987 41.818880011)
222129,2022,07/06/2023,Bridgeport,25 CARTRIGHT ST UNIT #3F,65010.00,230000.00,0.2826,Residential,Condo,,,,POINT (-73.219296026 41.177733988)
221684,2022,03/06/2023,Manchester,118 AMBASSADOR DRIVE UNIT E,108300.00,180000.00,0.6016,Residential,Condo,25 - Other,ADMINISTRATOR DEED,,POINT (-72.494975036 41.797691985)
220573,2022,03/30/2023,Fairfield,1353 BROOKLAWN AVENUE,334530.00,620000.00,0.5395,Residential,Single Family,07 - Change in Property,PERMIT WORK,,POINT (-73.21961898 41.196153011)
220209,2022,07/05/2023,Brookfield,55 PRANGE RD WOODCREEK VILL,99500.00,310000.00,0.3209,Residential,Condo,,,,POINT (-73.431524976 41.481079004)
22036,2022,09/21/2023,Chaplin,97 CHAPLIN ST,114700.00,165000.00,0.6951,Residential,Single Family,07 - Change in Property,,,POINT (-72.129343009 41.798254997)
22092,2022,01/31/2023,Darien,18 DUBOIS ST,1196230.00,2395000.00,0.4995,Residential,Single Family,,,,POINT (-73.491093988 41.061016992)
2200354,2022,06/23/2023,New Milford,2 CHAPEL HILL RD,147250.00,200000.00,0.7362,Residential,Single Family,,,,POINT (-73.418708962 41.646256015)
22231,2022,08/21/2023,Monroe,24 ASPEN LANE,390100.00,875000.00,0.4458,Residential,Single Family,,,,POINT (-73.281830975 41.343590981)
220565,2022,08/03/2023,Enfield,15 BARRETT RD,144300.00,273500.00,0.5276,Residential,Single Family,,,,POINT (-72.569219001 41.972622011)
220110,2022,04/11/2023,Coventry,60 JOSHUA LN,187800.00,365000.00,0.5145,Residential,Single Family,14 - Foreclosure,WITH CRUMB FNDTN,,POINT (-72.365554009 41.820197018)
220638,2022,05/16/2023,Milford,12 YORK ST,333230.00,600000.00,0.5553,Residential,Single Family,07 - Change in Property,,,POINT (-73.086718038 41.200121004)
220078,2022,03/21/2023,Canton,35 SWEETHEART MOUNTAIN ROAD,399470.00,855000.00,0.4672,Residential,Single Family,,,,POINT (-72.933250001 41.814092981)
220266,2022,09/25/2023,East Hampton,4 CRESCENT ST,148400.00,385000.00,0.3854,Residential,Single Family,,,,POINT (-72.505516034 41.574338992)
